ID,Country,City,Address,Company,Office Size,Contract Start,Contract End,People,Per Person,Rent per Month,Contract End Month,Contract Start Month,Contract Length,Months Until Expiry,Month Divider,Cumulative Monthly,Current?
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-01-01,26000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-02-01,52000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-03-01,78000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-04-01,104000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-05-01,130000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-06-01,156000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-07-01,182000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-08-01,208000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-09-01,234000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-10-01,260000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-11-01,286000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2021-12-01,312000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-01-01,338000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-02-01,364000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-03-01,390000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-04-01,416000,EoY and Current
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-05-01,442000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-06-01,468000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-07-01,494000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-08-01,520000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-09-01,546000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-10-01,572000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-11-01,598000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2022-12-01,624000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2023-01-01,650000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2023-02-01,676000,Not
1,United Kingdom,London,22487 Ridgeway Pass,"McLaughlin, Rutherford and Rohan",Medium,2021-01-09,2025-01-08,50,520,26000,2024-12-01,2021-01-01,48,33,2023-03-01,702000,Not
